Source Question,Ground Truth,Source Answer,Statement (SQ+SA),Target Answer,New Question,New Answer,Semantic Similarity Score - Detail,Average,Inspection Conclusion
who sang the original me and bobby mcgee?,Roger Miller,roger miller,Roger miller sang the original me and bobby mcgee.,yes,Does roger miller sing the original me and bobby mcgee?,roger miller,0.34489042,0.34489042,NA
5 types of control that could be programmed on a gui?,Spinner,a cli,5 types of control that could be programmed on a gui a cli.,yes,Does 5 type of control that could be programmed on a gui a cli?,a cli,0.10179078,0.10179078,SA
5 types of control that could be programmed on a gui?,Drop - down list,a cli,5 types of control that could be programmed on a gui a cli.,yes,Does 5 type of control that could be programmed on a gui a cli?,a cli,0.10179078,0.10179078,SA
5 types of control that could be programmed on a gui?,Slider,a cli,5 types of control that could be programmed on a gui a cli.,yes,Does 5 type of control that could be programmed on a gui a cli?,a cli,0.10179078,0.10179078,SA
5 types of control that could be programmed on a gui?,Button,a cli,5 types of control that could be programmed on a gui a cli.,yes,Does 5 type of control that could be programmed on a gui a cli?,a cli,0.10179078,0.10179078,SA
5 types of control that could be programmed on a gui?,List box,a cli,5 types of control that could be programmed on a gui a cli.,yes,Does 5 type of control that could be programmed on a gui a cli?,a cli,0.10179078,0.10179078,SA
who is the actress who plays rita on ncis new orleans?,Chelsea Field,jacqueline danell obradors,The actress who plays rita on ncis new orleans is jacqueline danell obradors.,yes,Is the actress who plays rita on ncis new orleans jacqueline danell obradors?,obradors,0,0,SA
p diddy nicki minaj hello good morning lyrics?,Official Remix,t.i.,P diddy nicki minaj hello good morning lyrics t.i..,yes,Do p diddy nicki minaj hello good morning lyrics t.i?,t.i.,0.07171329,0.07171329,SA
element whose third shell contains two p electrons?,Magnesium,phosphorus,Element phosphorus's third shell contains two p electrons.,yes,Does element phosphorus's third shell contain two p electrons?,phosphorus,0.16126396,0.16126396,SA
who is the ceo of t rowe price?,William Stromberg,thomas rowe price jr.,The ceo of t rowe price is thomas rowe price jr..,yes,Is the ceo of t rowe price thomas rowe price jr?,thomas rowe price jr.,0.33426696,0.33426696,SA
who plays caroline on the bold and beautiful?,Linsey Godfrey,linsey godfrey,Linsey godfrey plays caroline on the bold and beautiful.,yes,Does linsey godfrey play caroline on the bold and beautiful?,from 2012 to 2018,0.20040846,0.20040846,NA
when does the second part of season 3 fuller house?,22-Dec-17,22-Dec-17,"The second part of season 3 fuller house in december 22, 2017.",yes,"Do the second part of season 3 fuller house in december 22, 2017?",22-Dec-17,0.32106614,0.32106614,NA
who played davenport in last of the summer wine?,Josephine Tewson,brian murphy,Brian murphy played davenport in last of the summer wine.,yes,Did brian murphy play davenport in last of the summer wine?,brian murphy,0.34064138,0.34064138,SA
who plays chaka in land of the lost?,Jorma Taccone,phillip paley,Phillip paley plays chaka in land of the lost.,yes,Does phillip paley play chaka in land of the lost?,cha - ka,0.23061007,0.23061007,SA
who narrated the original 1966 how the grinch stole christmas?,Boris Karloff,boris karloff,Boris karloff narrated the original 1966 how the grinch stole christmas.,yes,Did boris karloff narrate the original 1966 how the grinch stole christmas?,boris karloff,0.3379192,0.3379192,NA
i've got a brand new pair of roller skates original artist?,Melanie,melanie,I 've got a brand new pair of roller skates original artist melanie.,yes,Did i' ve get a brand new pair of roller skates original artist melanie?,christian louboutin,0.27644822,0.27644822,NA
who is the head coach of the minnesota timberwolves?,Thomas Joseph Thibodeau Jr.,tom thibodeau,The head coach of the minnesota timberwolves is tom thibodeau.,yes,Is the head coach of the minnesota timberwolves tom thibodeau?,thomas joseph thibodeau jr.,0.27602643,0.27602643,NA
who plays zack and cody in the suite life?,Dylan and Cole Sprouse,cole sprouse,Cole sprouse plays zack and cody in the suite life.,yes,Does cole sprouse play zack and cody in the suite life?,dylan sprouse,0.27804345,0.27804345,SA
who was the last person executed in ireland?,Michael Manning,michael manning,Michael manning was the last person executed in ireland.,yes,Was michael manning the last person executed in ireland?,michael manning,0.28818214,0.28818214,NA
where are the fruits of the spirit found in the bible?,Epistle to the Galatians,chapter 5 of the epistle to the galatians,The fruits of the spirit are found in chapter 5 of the epistle to the galatians in the bible.,yes,Are the fruits of the spirit found in chapter 5 of the epistle to the galatians in the bible?,love,0.340362,0.340362,NA
when was the planning commission set up to prepare a blue print of development for the country?,15-Mar-50,15-Mar-50,The planning commission was set up to prepare a blue print of development for the country in 15 march 1950.,yes,Was the planning commission set up to prepare a blue print of development for the country in 15 march 1950?,planning commission,0.23171598,0.23171598,NA
who is the coach of arizona state men's basketball?,Bobby Hurley,robert matthew hurley,The coach of arizona state men's basketball is robert matthew hurley.,yes,Is the coach of arizona state men's basketball robert matthew hurley?,robert matthew hurley,0.3297858,0.3297858,SA
who won i want to work for diddy?,Suzanne Siegel,suzanne siegel,Suzanne siegel won i want to work for diddy.,yes,Did suzanne siegel win i want to work for diddy?,suzanne siegel,0.3319155,0.3319155,NA
who played mason on wizards of waverly place?,Sulkin,gregg sulkin,Gregg sulkin played mason on wizards of waverly place.,yes,Did gregg sulkin play mason on wizards of waverly place?,he played mason,0.28032368,0.28032368,NA
where is the mesophyll located in a plant?,In leaves,next to the palisade cells in the leaf,The mesophyll is located in a plant in next to the palisade cells in the leaf.,yes,Is the mesophyll located in a plant in next to the palisade cells in the leaf?,spongy tissue,0.20596471,0.20596471,NA
