Source Question,Ground Truth,Source Answer,Statement (SQ+SA),Target Answer,New Question,New Answer,R1p,R1r,Semantic Similarity Score - Detail,Average,Inspectation Conclusion
are wolf spiders and grass spiders the same thing? ,no,no,wolf spiders and grass spiders are not the same thing.,wolf spiders and grass spiders,What are not the same ?,no answer>,1,0.9,"[0.20537773, 0.22629265, 0.24261482, 0.22629265]",0.22514446,NA
can i use a net10 card on a tracfone? ,no,yes,i can use a net10 card on a tracfone.,a net10 card,What can i use on a tracfone ?,no answer>,1,1,"[0, 0.34291536]",0.171457678,SA
is the three little pigs a nursery rhyme? ,no,no,the three little pigs is not a nursery rhyme.,a nursery rhyme,What is the three little pigs not ?,no answer>,1,1,"[0.1689365, 0.35898682]",0.26396167,NA
did christine and the phantom have a son? ,yes,yes,christine and the phantom had a son.,christine and the phantom,Who had a son ?,gustave,1,1,"[0, 0]",0,NA
is a bumble bee and a honey bee the same? ,no,no,a bumble bee and a honey bee is not the same.,the same,A bumble bee and a honey bee are not the same ?,no,0.769230769,0.909090909,[0.0],0,FP NQ
are there any games that are cross platform? ,yes,yes,there are any games that are cross platform.,any games that are cross platform,What are what ?,no answer>,0.875,0.875,"[0.2704504, 0.36984903, 0.33715254]",0.32581732,FP NQ
is 500 days of summer based on a true story? ,yes,yes,500 days is of summer based on a true story.,summer,500 days is of what kind of story based on a true story ?,romance,0.769230769,1,[0.34463593],0.34463593,NA
is the chernobyl nuclear power plant still operating? ,no,no,the chernobyl is not nuclear power plant still operating.,the chernobyl,What is a nuclear power plant still operating ?,no,0.888888889,0.888888889,[0.0],0,NA
is it possible to create mass from energy? ,yes,yes,it is possible to create mass from energy.,mass,What is possible to create from energy ?,matter,1,0.75,[0.49275783],0.49275783,NA
do the second and third place winners on survivor get any money? ,yes,yes,the second and third place winners on survivor get any money.,the second and third place winners,Who gets any money ?,the sole survivor,0.888888889,0.727272727,"[0.5684506, 0.58378315, 0.4833291, 0.35573977]",0.49782568,NA
is an agm battery a sealed lead acid battery? ,yes,yes,an agm battery is a sealed lead acid battery.,a sealed lead acid battery,What is an agm battery ?,absorbent glass mat,1,1,"[0.42652187, 0.34344476, 0.4021862, 0.38247082]",0.3886559,NA
can a supreme court justice be a recess appointment? ,yes,yes,a supreme court justice can be a recess appointment.,a supreme court justice,What is a recess appointment ?,yes,0.875,0.777777778,"[0.25636354, 0.23115903, 0.27372202]",0.2537482,NA
is for a few dollars more a sequel? ,yes,no,for is not a few dollars more a sequel.,a few dollars more a sequel,What is not a sequel ?,no,0.8,0.888888889,[0.0],0,FP SQ
do away goals count in the league 2 playoffs? ,no,no,away goals do not count in the league 2 playoffs.,away goals,What do not count in the league 2 playoffs ?,no answer>,1,1,"[0.34506255, 0.3305006]",0.33778158,NA
does the ivy league have a basketball tournament? ,yes,yes,the ivy league has a basketball tournament.,a basketball tournament,What does the ivy league have ?,no answer>,1,1,"[0.224658, 0.27315456]",0.24890628,NA
is there anyone alive from world war 1? ,no,no,there is not anyone alive from world war 1.,anyone alive,There is not anyone from world war 1 ?,no,0.9,1,[0.0],0,FP NQ
is there such thing as over drinking water? ,yes,yes,there is such thing as over drinking water.,such thing,What is over drinking water ?,excess water intake,1,0.75,[0.36953503],0.36953503,NA
is the 3 strikes law still in effect? ,yes,yes,the 3 strikes law is still in effect.,the 3 strikes law,What law is still in effect ?,yes,1,1,"[0.06475564, 0.24417274, 0.26867774]",0.19253536,NA
is god of war sequel to god of war 3? ,yes,no,god of war is not sequel to god of war 3.,war 3,What god is the god of war not a sequel to ?,no answer>,0.818181818,0.818181818,"[0.29752836, 0.6904777]",0.49400306,SA
is there a difference between an ounce and a fluid ounce? ,yes,yes,there is a difference between an ounce and a fluid ounce.,a difference,What is there between an ounce and a fluid ounce ?,distinct from the ounce as a unit of weight or mass,1,1,[0.55510527],0.55510527,NA
can you breed a rabbit and a cat? ,no,yes,you can breed a rabbit and a cat.,a rabbit and a cat,What can you breed ?,no answer>,1,1,"[0.2549429, 0.26504204]",0.25999248,SA
has the leaning tower of pisa always been leaning? ,yes,no,the leaning tower of pisa always has not been leaning.,the leaning tower of pisa,What always has not been leaning ?,no answer>,1,0.9,"[0.30009454, 0.27148014, 0.27312002]",0.28156492,SA
is benzalkonium chloride the same as hydrogen peroxide? ,no,no,benzalkonium chloride is not the same as hydrogen peroxide.,hydrogen peroxide,What is benzalkonium chloride not the same as ?,no answer>,1,1,"[0.25901365, 0.27301762]",0.26601565,NA
is there a difference between chicken tikka and chicken tikka masala? ,yes,no,there is not a difference between chicken tikka and chicken tikka masala.,a difference,What is there between chicken tikka and chicken tikka masala ?,no recipe for chicken tikka masala is standard,1,0.916666667,[0.4552525],0.4552525,SA
is the us 2 dollar bill still in circulation? ,yes,yes,the us is 2 dollar bill still in circulation.,the us,What is the 2 dollar bill still in circulation ?,yes,0.9,1,[0.35540256],0.35540256,FP statement
is there going to be a season 6 of spirit? ,yes,yes,there is going to be a season 6 of spirit.,a season 6,What is going to be in spirit ?,no answer>,0.888888889,0.8,"[0.25154185, 0.6764686]",0.46400523,NA
are cowpeas and black eyed peas the same thing? ,yes,yes,cowpeas and black eyed peas are the same thing.,the same thing,What are cowpeas and black eyed peas ?,no answer>,1,1,[0.49632344],0.49632344,NA
is there going to be another golden compass movie? ,no,no,there is not going to be another golden compass movie.,another golden compass movie,What is not going to be ?,no answer>,1,0.9,"[0.42593613, 0.2697288, 0.36449146, 0.30104265]",0.34029976,NA
are dachshunds and weiner dogs the same thing? ,yes,yes,dachshunds and weiner dogs are the same thing.,dachshunds and weiner dogs,What are the same thing ?,no answer>,1,1,"[0.16253068, 0.30518544, 0.20692678]",0.22488095,NA
does cheddar cheese have to be made in cheddar? ,no,no,cheddar cheese does not have to be made in cheddar.,cheddar,What type of cheese does not have to be made in ?,no answer>,0.818181818,0.9,[0.19777206],0.19777206,NA
is there a season two of the messengers? ,no,no,there is not a season two of the messengers.,a season two,What season of the messengers is not there ?,no answer>,1,0.888888889,"[0.25154185, 0.33175996]",0.2916509,NA
is county court the same as magistrates court? ,no,no,county court is not the same as magistrates court.,county court,What is the same as a magistrates court ?,no answer>,0.888888889,0.888888889,"[0.22787498, 0.35151777]",0.28969637,FP NQ
is a garbanzo bean and a chickpea the same thing? ,yes,yes,a garbanzo bean and a chickpea is the same thing.,the same thing,What is a garbanzo bean and a chickpea ?,yes,1,1,[0.49477074],0.49477074,NA
does a quarter pounder weight a quarter pound? ,no,yes,a quarter pounder weights a quarter pound.,a quarter pounder,What weight is a quarter pound ?,113.4 g,0.857142857,0.857142857,"[0.3604489, 0.23959008]",0.3000195,SA
was harry potter inspired by lord of the rings? ,no,yes,harry potter was inspired by lord of the rings.,harry potter,Who was inspired by lord of the rings ?,j.r.r. tolkien,1,1,"[0.44230208, 0.43975842]",0.44103026,SA
has south africa qualified for the world cup? ,yes,yes,south africa has qualified for the world cup.,south africa,Which continent has qualified for the world cup ?,yes,1,1,"[0.24672143, 0.24994014]",0.24833079,FP NQ
has the last book of game of thrones been written? ,no,yes,the last book of game of thrones has been written.,the last book of game of thrones,What has been written ?,yes,1,1,"[0.35272208, 0.2545927, 0.3140985, 0.23413862]",0.28888798,SA
was there a sequel to the movie prometheus? ,yes,yes,there was a sequel to the movie prometheus.,a sequel,What was there to the movie prometheus ?,no answer>,1,0.75,[0.3924752],0.3924752,NA
does ny ez pass work in other states? ,yes,yes,ny ez passes work in other states.,ny ez,Who passes work in other states ?,no answer>,1,1,"[0.3297621, 0.4368394]",0.38330075,NA
can base runners advance on an infield fly rule? ,yes,yes,base runners can advance on an infield fly rule.,an infield fly rule,What rule can base runners advance on ?,no,1,1,[0.0],0,NA
has anyone ever been born with three testicles? ,yes,yes,anyone has ever been born with three testicles.,three testicles,What has ever been born with ?,no answer>,1,0.875,"[0.35057485, 0.27374777]",0.31216133,NA
are bounty hunters allowed to carry a gun? ,yes,yes,bounty hunters are allowed to carry a gun.,bounty hunters,Who is allowed to carry a gun ?,agents,0.875,0.875,"[0.2932284, 0.48784572]",0.39053705,NA
are there going to be more tinkerbell movies? ,yes,yes,there are going to be more tinkerbell movies.,more tinkerbell movies,What are going to be more of ?,no answer>,0.777777778,0.875,"[0.44849613, 0.23560019]",0.34204817,NA
is contemporary dance the same as modern dance? ,no,no,contemporary dance is not the same as modern dance.,modern dance,What is contemporary dance not the same as ?,no answer>,1,1,"[0.30768302, 0.31804165]",0.31286234,NA
does teddy come back to grey's anatomy? ,yes,yes,teddy comes back to grey's anatomy.,grey 's anatomy,What does teddy come back to ?,a few episodes in season 14,0.714285714,0.833333333,"[0.24404891, 0.31277686, 0.29460615]",0.28381065,NA
is all the members of fleetwood mac still alive? ,no,no,all the members is not of fleetwood mac still alive.,all the members,Who is not of fleetwood mac still alive ?,bob weston,1,1,[0.24531937],0.24531937,NA
was there a world war before world war 1? ,no,yes,there was a world war before world war 1.,world war 1,There was a world war before what ?,no answer>,1,1,"[0.30652174, 0.29752836, 0.69879603]",0.43428206,SA
are a meter and a yard the same length? ,no,no,a meter and a yard are not the same length.,the same length,A meter and a yard are not the same ?,no,0.833333333,1,[0.0],0,FP NQ
is liquid petroleum gas the same as propane? ,yes,yes,liquid petroleum gas is the same as propane.,propane,What is liquid petroleum gas the same as ?,no answer>,1,1,[0.21196042],0.21196042,NA
is the legal drinking age a federal law? ,no,yes,the legal drinking age is a federal law.,a federal law,What is the legal drinking age ?,21,1,1,"[0.13799582, 0.09415302]",0.11607442,SA
does a point guard have to be tall? ,no,no,a point guard does not have to be tall.,tall,A point guard does not have to be what ?,no answer>,1,1,[0.32301152],0.32301152,NA
is a pickle and a gherkin the same thing? ,yes,yes,a pickle and a gherkin is the same thing.,the same thing,What is a pickle and a gherkin ?,pickled cucumber,1,1,[0.30429763],0.30429763,NA
do they still make new family guy episodes? ,yes,yes,they still make new family guy episodes.,new family guy episodes,What kind of episodes do they still make ?,no answer>,0.875,1,"[0.3924036, 0.2388556, 0.33923692, 0.20688532]",0.29434535,NA
is abu dhabi and dubai the same place? ,no,no,abu dhabi and dubai is not the same place.,the same place,What is abu dhabi and dubai not the same ?,no answer>,0.818181818,1,[0.4440867],0.4440867,NA
will a straight talk phone work with tracfone? ,yes,yes,a straight talk phone will work with tracfone.,a straight talk phone,What type of phone will work with tracfone ?,no answer>,1,1,"[0.4414824, 0.30553296, 0.44940215]",0.39880586,NA
was integration the rule in the northern states? ,no,no,integration was not the rule in the northern states.,the northern states,Where was integration not the rule ?,no answer>,1,1,"[0.20740527, 0.32994112]",0.26867318,NA
is the stop codon part of the coding region? ,yes,yes,the is stop codon part of the coding region.,the coding region,The is stop codon part of what ?,no answer>,1,1,"[0.33320275, 0.2752833]",0.30424303,NA
