Source Question,Ground Truth,Source Answer,Statement (SQ+SA),Target Answer,New Question,New Answer,Semantic Similarity Score - Detail,Average,Inspection Conclusion
What type of practices did the Yuan introduce in government? ,<No Answer>,confucian,The Yuan introduced confucian type of practices in government.,yes,Did the Yuan introduce confucian type of practices in government?,reinstated by the yuan court,[0.2837373],0.2837373,SA
What is the most likely effect of breathing oxygen? ,placebo,placebo,The most likely effect of breathing oxygen is placebo.,yes,Is the most likely effect of breathing oxygen placebo?,no answer>,[0.59921396],0.59921396,NA
What goal does Islamism have when it comes to society and government? ,reordering,reordering,Islamism has reordering when it comes to society and government.,yes,Has islamism reordering when it comes to society and government?,no answer>,[0.59921396],0.59921396,NA
One strategy of Islamization is to seize power by what methods? ,revolution or invasion,revolution or invasion,One strategy of Islamization is to seize power by revolution or invasion methods.,yes,Is one strategy of Islamization to seize power by revolution or invasion methods?,revolution or invasion,[0.31655025],0.31655025,NA
What type of climate does Jacksonville have? ,subtropical,humid subtropical,Jacksonville has humid subtropical type of climate.,yes,Has jacksonville humid subtropical type of climate?,no answer>,[0.59921396],0.59921396,NA
When does rain typically fall in Jacksonville? ,May through September,may through september,Rain falls typically fall in Jacksonville in may through september.,yes,Does rain fall typically fall in Jacksonville in may through september?,may,[0.33792853],0.33792853,NA
How is winter weather in Jacksonville described as? ,mild,mild and sunny,Winter weather in Jacksonville is described as mild and sunny.,yes,Is winter weather in Jacksonville described as mild and sunny?,typically mild and sunny,[0.33631122],0.33631122,NA
In what country was a full-scale working railway steam locomotive first invented? ,United Kingdom,united kingdom,In united kingdom country was a full-scale working railway steam locomotive first invented.,yes,Was in united kingdom country a full-scale working railway steam locomotive first invented?,richard trevithick,[0.33847642],0.33847642,NA
On what date did the first railway trip in the world occur? ,21 February 1804,21 february 1804,The first railway trip in the world occurred on 21 february 1804 date.,yes,Did the first railway trip in the world occur on 21 february 1804 date?,21 february 1804,[0.27124545],0.27124545,NA
Where did the world's first railway journey terminate? ,Abercynon,abercynon in south wales,The world's first railway journey terminated in abercynon in south wales.,yes,Do the world's first railway journey terminated in abercynon in south wales?,no answer>,[0.59921396],0.59921396,NA
In what geographical portion of Wales is Abercynon located? ,south,south,In south geographical portion of Wales is Abercynon located.,yes,Did in south geographical portion of Wales is Abercynon locate?,south wales,[0.30155897],0.30155897,NA
In what country was a full-scale working railway steam centre first invented? ,<No Answer>,united kingdom,In united kingdom country was a full-scale working railway steam centre first invented.,yes,Was in united kingdom country a full-scale working railway steam centre first invented?,richard trevithick,[0.33847642],0.33847642,SA
On what date did the first railway trip in England occur? ,<No Answer>,21 february 1804,The first railway trip in England occurred on 21 february 1804 date.,yes,Did the first railway trip in England occur on 21 february 1804 date?,21 february 1804,[0.27124545],0.27124545,SA
In what geographical portion of England is Abercynon located? ,<No Answer>,south wales,In south wales geographical portion of England is Abercynon located.,yes,Did in south wales geographical portion of England is Abercynon locate?,south wales,[0.30155897],0.30155897,SA
What did John Paul II's visits in 1979 and 1983 encourage? ,growing anti-communist fervor,anti-communist fervor,John Paul II's visits in 1979 and 1983 encouraged anti-communist fervor.,yes,Did john Paul II's visits in 1979 and 1983 encourage anti-communist fervor?,encouraged the growing anti-communist fervor there,[0.35102835],0.35102835,NA
How long had John Paul II been the pope in 1979? ,less than a year,less than a year,John Paul II had been the pope in 1979 for less than a year.,yes,Had john Paul II been the pope in 1979 for less than a year?,less than a year after becoming pope,[0.34583917],0.34583917,NA
What was the proportion of Huguenots to Catholics at their peak? ,about one-eighth the number,one-eighth,The proportion of Huguenots to Catholics at their peak was one-eighth.,yes,Was the proportion of Huguenots to Catholics at their peak one-eighth?,one-eighth,[0.37791583],0.37791583,NA
When were the Wars of Religion fought? ,from 1562 to 1598,1562 to 1598,The Wars of Religion were fought in 1562 to 1598.,yes,Were the Wars of Religion fought in 1562 to 1598?,intermittently,[0.25582755],0.25582755,NA
When did BSkyB announce it's intention to replace it's free-to-air digital channels? ,8-Feb-07,8-Feb-07,BSkyB announced it's intention to replace it's free-to-air digital channels in 8 february 2007.,yes,Did bSkyB announce it's intention to replace it's free-to-air digital channels in 8 february 2007?,8-Feb-07,[0.27124545],0.27124545,NA
What were NTL's services rebranded as? ,Virgin Media,virgin media,NTL's services were rebranded as virgin media.,yes,Were nTL's services rebranded as virgin media?,no answer>,[0.59921396],0.59921396,NA
What are presented to parliament in addition to the bill itself? ,accompanying documents,"explanatory notes, a policy memorandum setting out the policy underlying the","Explanatory notes, a policy memorandum setting out the policy underlying the are presented to parliament in addition to the bill itself.",yes,"Explanatory notes, are a policy memorandum setting out the policy underlying the presented to parliament in addition to the bill itself?",no answer>,[0.59921396],0.59921396,NA
"If Parliament agrees in a vote to the general principle of a bill, what does it then proceed to? ",Stage 2,stage 2,"If Parliament agrees in a vote to the general principle of a bill, it then proceeds to stage 2.",yes,"If Parliament agrees in a vote to the general principle of a bill, Does it then proceed to stage 2?",it then proceeds to stage 2.,[0.2632461],0.2632461,NA
What was considered responsible for the black death as well as the epidemic in southern China? ,Yersinia pestis,yersinia pestis,Yersinia pestis was considered responsible for the black death as well as the epidemic in southern China.,yes,Was yersinia pestis considered responsible for the black death as well as the epidemic in southern China?,yersinia pestis,[0.2112122],0.2112122,NA
Where and when did the investigation of the plague pathogen begin? ,Hong Kong in 1894,hong kong in 1894,The investigation of the plague pathogen began in hong kong in 1894.,yes,Did the investigation of the plague pathogen begin in hong kong in 1894?,begun by teams of scientists who visited hong kong in 1894,[0.28248245],0.28248245,NA
Who was yersinia pestis named for? ,French-Swiss bacteriologist Alexandre Yersin,alexandre yersin,Alexandre yersin was yersinia pestis named for.,yes,Was alexandre yersin yersinia pestis named for?,no answer>,[0.59921396],0.59921396,NA
What was the bubonic plague mechanism reliant on? ,two populations of rodents,two populations of rodents,The bubonic plague mechanism was reliant on two populations of rodents.,yes,Was the bubonic plague mechanism reliant on two populations of rodents?,two populations of rodents,[0.26979768],0.26979768,NA
In what year did Alexandre Yersin discover the Yersinia pestis? ,<No Answer>,1894,Alexandre Yersin discovered the Yersinia pestis in 1894 year.,yes,Did alexandre Yersin discover the Yersinia pestis in 1894 year?,no answer>,[0.59921396],0.59921396,SA
Besides Alexandre Yersin who was another scientist that visited Hong Kong in 1894? ,<No Answer>,paul-louis simond,Besides Alexandre Yersin paul-louis simond was another scientist that visited Hong Kong in 1894.,yes,Was besides Alexandre Yersin paul-louis simond another scientist that visited Hong Kong in 1894?,no answer>,[0.59921396],0.59921396,SA
Who named the pathogen Yersinia pestis? ,<No Answer>,alexandre yersin,Alexandre yersin named the pathogen Yersinia pestis.,yes,Did alexandre yersin name the pathogen Yersinia pestis?,no answer>,[0.59921396],0.59921396,SA
What is a main duty of the GPhC? ,regulates the practice of pharmacists and pharmacy technicians,regulates the practice of pharmacists and pharmacy technicians,A main duty of the GPhC is regulates the practice of pharmacists and pharmacy technicians.,yes,Is a main duty of the GPhC regulates the practice of pharmacists and pharmacy technicians?,no answer>,[0.59921396],0.59921396,NA
What type of professional is a Pharmacy Technician considered to be? ,health care professional,health care,Health care type of professional is a Pharmacy Technician considered to be.,yes,Is health care type of professional a Pharmacy Technician considered to be?,health care professional,[0.27476963],0.27476963,NA
What types of responsibilities might a pharmacy technician have? ,manage the pharmacy department and specialised areas in pharmacy practice,manage the pharmacy department and specialised areas in pharmacy practice,A pharmacy technician might have manage the pharmacy department and specialised areas in pharmacy practice of responsibilities.,yes,Have a pharmacy technician might manage the pharmacy department and specialised areas in pharmacy practice of responsibilities?,no answer>,[0.59921396],0.59921396,NA
What is the name for a response of the immune system that damages the body's native tissues? ,Hypersensitivity,hypersensitivity,The name for a response of the immune system that damages the body's native tissues is hypersensitivity.,yes,Is the name for a response of the immune system that damages the body's native tissues hypersensitivity?,hypersensitivity,[0.23994464],0.23994464,NA
How many classes of immune hypersensitivity are there? ,four classes (Type I – IV),four,There are four classes of immune hypersensitivity.,yes,Are there four classes of immune hypersensitivity?,type i – iv,[0.34383687],0.34383687,NA
What is the chemical that mediates Type 1 hypersensitivity? ,IgE,ige,The chemical that mediates Type 1 hypersensitivity is ige.,yes,Is the chemical that mediates Type 1 hypersensitivity ige?,no answer>,[0.59921396],0.59921396,NA
What is the second busiest container port in the United States? ,Port of San Diego,port of long beach,The second busiest container port in the United States is port of long beach.,yes,Is the second busiest container port in the United States port of long beach?,no answer>,[0.59921396],0.59921396,NA
What is the busiest container port in the United States? ,<No Answer>,port of los angeles,The busiest container port in the United States is port of los angeles.,yes,Is the busiest container port in the United States port of los angeles?,no answer>,[0.59921396],0.59921396,SA
What was the end of the War of the Austrian Succession? ,1748 with the signing of the Treaty of Aix-la-Chapelle,1748 with the signing of the treaty of aix-la-chapelle,The end of the War of the Austrian Succession was 1748 with the signing of the treaty of aix-la-chapelle.,yes,Was the end of the War of the Austrian Succession 1748 with the signing of the treaty of aix-la-chapelle?,formally ended in 1748,[0.31392726],0.31392726,NA
What was the end of the War of the Australian Succession? ,<No Answer>,1748 with the signing of the treaty of aix-la-chapelle,The end of the War of the Australian Succession was 1748 with the signing of the treaty of aix-la-chapelle.,yes,Was the end of the War of the Australian Succession 1748 with the signing of the treaty of aix-la-chapelle?,formally ended in 1748,[0.31392726],0.31392726,SA
What is the polish word for wreaths? ,Wianki,wianki,The polish word for wreaths is wianki.,yes,Is the polish word for wreaths wianki?,no answer>,[0.59921396],0.59921396,NA
How many people gather along the banks of the Vistula for the Wianki festival? ,thousands,thousands,Thousands people gather along the banks of the Vistula for the Wianki festival.,yes,Do thousands people gather along the banks of the Vistula for the Wianki festival?,midsummer’s night,[0.2752898],0.2752898,NA
What will maidens be able to predict by floating their wreaths down the Vistula? ,when they would be married,"when they would be married, and to whom","Maidens will be able to predict when they would be married, and to whom by floating their wreaths down the Vistula.",yes,"Be maidens will able to predict when they would be married, and to whom by floating their wreaths down the Vistula?",no answer>,[0.59921396],0.59921396,NA
What type of flower is sought on Midsummer's Eve? ,the fern,fern,Fern type of flower is sought on Midsummer's Eve.,yes,Is fern type of flower sought on Midsummer's Eve?,looking for the fern flower,[0.3552674],0.3552674,NA
What type of flower is sought on Wianki? ,<No Answer>,fern,Fern type of flower is sought on Wianki.,yes,Is fern type of flower sought on Wianki?,looking for the fern flower,[0.3552674],0.3552674,SA
What dictionary contains a non- violent definition? ,Black's Law,black's law dictionary,Black's law dictionary contains a non- violent definition.,yes,Does black's law dictionary contain a non- violent definition?,includes non-violence in its definition of civil disobedience,[0.36076212],0.36076212,NA
What other terminology is considered much more destructive? ,civil rebellion,rebellion,Rebellion is considered much more destructive.,yes,Is rebellion considered much more destructive?,rebellion is much more destructive,[0.37412128],0.37412128,SA
Debates about civil disobedience include or exclude what major practice? ,violence,non-violent,Debates about civil disobedience include or exclude non-violent.,yes,Do debates about civil disobedience include or exclude non-violent?,include,[0.34605494],0.34605494,SA
"When violence is used, what is civil disobedience sometimes called? ",civil rebellion,civil rebellion,"When violence is used, civil disobedience is sometimes called as civil rebellion.",yes,"When violence is used, is civil disobedience called as civil rebellion?",civil disobedience,[0.25845125],0.25845125,NA
What is one result of civil rebellion? ,destructive,refusal to submit to arrest,One result of civil rebellion is refusal to submit to arrest.,yes,Is one result of civil rebellion refusal to submit to arrest?,no answer>,[0.59921396],0.59921396,SA
What southern city did the Huguenots settle near? ,"Charleston, South Carolina","charleston, south carolina","The Huguenots settled charleston, south carolina near.",yes,"Did the Huguenots settle charleston, south carolina near?",present-day charleston,[0.36345],0.36345,NA
Where in South Carolina did Huguenot nobility settle? ,the Charleston Orange district,charleston,Huguenot nobility settled in charleston in South Carolina.,yes,Did huguenot nobility settle in charleston in South Carolina?,many huguenots,[0.3657837],0.3657837,SA
What two railroads have railyards in the city of Fresno? ,Burlington Northern Santa Fe Railway and Union Pacific Railroad,union pacific railroad,Union pacific railroad have railyards in the city of Fresno.,yes,Do union pacific railroad have railyards in the city of Fresno?,both railroads,[0.21961679],0.21961679,NA
"If you were to take a train west or south out of the city of Fresno, which railroad would you take? ",San Joaquin Valley Railroad,san joaquin valley railroad,"If you were to take a train west or south out of the city of Fresno, you would take san joaquin valley railroad railroad.",yes,"If you were to take a train west or south out of the city of Fresno, would you take san joaquin valley railroad railroad?",no answer>,[0.59921396],0.59921396,NA
Who renovated the Santa Fe Railroad Depot? ,<No Answer>,amtrak san joaquins,Amtrak san joaquins renovated the Santa Fe Railroad Depot.,yes,Did amtrak san joaquins renovate the Santa Fe Railroad Depot?,recently renovated historic santa fe railroad depot,[0.3272856],0.3272856,SA
Who decides who gets to speak in the chamber debates? ,The Presiding Officer,the presiding officer,The presiding officer decides who gets to speak in the chamber debates.,yes,Does the presiding officer decide who gets to speak in the chamber debates?,decides who speaks in chamber debates,[0.3529229],0.3529229,NA
What is also decided by the Presiding Officer? ,amount of time for which they are allowed to speak,who speaks in chamber debates and the amount of time for which they are allowed to speak,Who speaks in chamber debates and the amount of time for which they are allowed to speak is also decided by the Presiding Officer.,yes,Is who speaks in chamber debates and the amount of time for which they are allowed to speak decided by the Presiding Officer?,the presiding officer (or deputy presiding officer),[0.21243128],0.21243128,NA
What does the Presiding Officer try to achieve a balance of between speakers? ,different viewpoints,different viewpoints and political parties,The Presiding Officer tries to achieve different viewpoints and political parties a balance of between speakers.,yes,Does the Presiding Officer try to achieve different viewpoints and political parties a balance of between speakers?,no answer>,[0.59921396],0.59921396,SA
What members typically open debates? ,ministers or party leaders,ministers or party leaders,Ministers or party leaders typically open debates.,yes,Do ministers or party leaders typically open debates?,ministers or party leaders,[0.25178924],0.25178924,NA
What was common in states without population increases? ,<No Answer>,lines at gasoline stations,Common in states without population increases was lines at gasoline stations.,yes,Was common in states without population increases lines at gasoline stations?,no answer>,[0.59921396],0.59921396,SA
When was the paper published that the 'Millennial Northern Hemisphere temperature reconstruction' graph was based on? ,1999,1999,The paper was published that the' Millennial Northern Hemisphere temperature reconstruction' graph was based on in 1999.,yes,Was the paper published that the' Millennial Northern Hemisphere temperature reconstruction' graph was based on in 1999?,"michael e. mann, raymond s. bradley",[0.32086194],0.32086194,NA
Who wrote the paper that the 'Millennial Northern Hemisphere temperature reconstruction' graph was based on? ,"Michael E. Mann, Raymond S. Bradley and Malcolm K. Hughes","michael e. mann, raymond s. bradley","Michael e. mann, raymond s. bradley wrote the paper that the' Millennial Northern Hemisphere temperature reconstruction' graph was based on.",yes,"Did michael e. mann, raymond s. bradley write the paper that the' Millennial Northern Hemisphere temperature reconstruction' graph was based on?",no answer>,[0.59921396],0.59921396,NA
What is the nickname for the 'Millennial Northern Hemisphere temperature reconstruction' graph? ,the 'hockey stick graph',hockey stick graph,The nickname for the' Millennial Northern Hemisphere temperature reconstruction' graph is hockey stick graph.,yes,Is the nickname for the' Millennial Northern Hemisphere temperature reconstruction' graph hockey stick graph?,no answer>,[0.59921396],0.59921396,NA
Who did the Mongols bring to China as administrators? ,Central Asian Muslims,central asian muslims,The Mongols brought central asian muslims to China as administrators.,yes,Did the Mongols bring central asian muslims to China as administrators?,the mongols imported central asian muslims,[0.33014557],0.33014557,NA
Who did the Mongols send to Bukhara as administrators? ,Han Chinese and Khitans,han chinese and khitans from china,The Mongols sent han chinese and khitans from china to Bukhara as administrators.,yes,Did the Mongols send han chinese and khitans from china to Bukhara as administrators?,the mongols also sent han chinese and khitans from china,[0.3662192],0.3662192,NA
Where in Central Asia did the Han Chinese move? ,"Besh Baliq, Almaliq, and Samarqand","almaliq, and samarqand","The Han Chinese moved in almaliq, and samarqand in Central Asia.",yes,"Did the Han Chinese move in almaliq, and samarqand in Central Asia?",no answer>,[0.59921396],0.59921396,NA
What types of work did the Han do in Central Asia? ,artisans and farmers,artisans and farmers,The Han did artisans and farmers of work in Central Asia.,yes,Did the Han do artisans and farmers of work in Central Asia?,artisans and farmers,[0.2373125],0.2373125,NA
Who was made Governor of Samarqand? ,a Qara-Khitay (Khitan,a qara-khitay (khitan),A qara-khitay (khitan) was made Governor of Samarqand.,yes,Was a qara-khitay( khitan) made Governor of Samarqand?,mongol appointed governor of samarqand was a qara-khi,[0.26292673],0.26292673,NA
When did Landau propose his four conjectural problems? ,1912,1912,Landau proposed his four conjectural problems in 1912.,yes,Did landau propose his four conjectural problems in 1912?,no answer>,[0.59921396],0.59921396,NA
"As of February 2011, how many numbers has Goldbach's conjecture been proven to? ",all numbers up to n = 2 · 1017,all numbers up to n = 2  1017,"As of February 2011, Goldbach's conjecture has been proven to all numbers up to n = 2  1017 numbers.",yes,"Did as of February 2011, Goldbach's conjecture has been prove to all numbers up to n= 2 1017 numbers?",no answer>,[0.59921396],0.59921396,NA
Which theorem states that every large odd integer can be written as a prime summed with a semiprime? ,<No Answer>,chen's,Chen's theorem states that every large odd integer can be written as a prime summed with a semiprime.,yes,Does chen's theorem state that every large odd integer can be written as a prime summed with a semiprime?,no answer>,[0.59921396],0.59921396,SA
what is Internet2? ,"a not-for-profit United States computer networking consortium led by members from the research and education communities, industry, and government",a not-for-profit united states computer networking consortium,Internet2 is a not-for-profit united states computer networking consortium.,yes,Is internet2 a not-for-profit united states computer networking consortium?,internet2 is a not-for-profit united states computer networking consortium,[0.32897016],0.32897016,NA
Who did internet2 partner with? ,"The Internet2 community, in partnership with Qwest",level 3 communications,Internet2 partnered with level 3 communications.,yes,Does internet2 partnered with level 3 communications?,"in 2006, internet2 announced a partnership with level 3 communications",[0.28831905],0.28831905,SA
What was the first internet2 network named? ,Abilene,abilene,The first internet2 network was named abilene.,yes,Was the first internet2 network named abilene?,"built the first internet2 network, called abilene, in 1998",[0.29072186],0.29072186,NA
Who did internet2 partner with ? ,a partnership with Level 3 Communications to launch a brand new nationwide network,qwest,Internet2 partnered with qwest.,yes,Does internet2 partnered with qwest?,"the internet2 community, in partnership with qwest",[0.30097985],0.30097985,SA
ableine was retired and the new platform is called ? ,"Internet2 officially retired Abilene and now refers to its new, higher capacity network as the Internet2 Network",internet2 network,Ableine was retired and the new platform is called internet2 network.,yes,Was ableine retired and the new platform is called internet2 network?,no answer>,[0.59921396],0.59921396,SA
Qwest partnered with who to help create Internet2? ,<No Answer>,the internet2 community,Qwest partnered with the internet2 community to help create Internet2.,yes,Did qwest partner with the internet2 community to help create Internet2?,no answer>,[0.59921396],0.59921396,SA
Abilene was a prime investor in what project? ,<No Answer>,the national lambdarail (nlr) project,Abilene was a prime investor in the national lambdarail (nlr) project project.,yes,Was abilene a prime investor in the national lambdarail( nlr) project project?,no answer>,[0.59921396],0.59921396,SA
"In the capabilities approach, grow and income are considered a means to an end rather than what? ",the end itself,the end itself,"In the capabilities approach, grow and income are considered a means to an end rather than the end itself.",yes,"In the capabilities approach, Do grow and income are considered a means to an end rather than the end itself?",a means to an end,[0.43208423],0.43208423,NA
What is the goal of the capabilities approach? ,to “wid[en] people’s choices and the level of their achieved well-being”,wide[en] people’s choices and the level of their achieved well-being,The goal of the capabilities approach is wide[en] people’s choices and the level of their achieved well-being.,yes,Is the goal of the capabilities approach wide[en] people ’s choices and the level of their achieved well-being?,its goal is to “wid[en] people’s choices and the level of their achieved,[0.35276332],0.35276332,NA
How would the capabilities approach achieve it's goal? ,through increasing functionings,"through increasing functionings (the things a person values doing), capabilities (the freedom to enjoy","The capabilities approach would achieve it's goal through increasing functionings( the things a person values doing), capabilities( the freedom to enjoy.",yes,"Would the capabilities approach achieve it's goal through increasing functionings( the things a person values doing), capabilities( the freedom to enjoy?",no answer>,[0.59921396],0.59921396,NA
Plants lack what kind of immune cells? ,phagocytic cells,phagocytic,Plants lack phagocytic.,yes,Do plants lack phagocytic?,plants lack phagocytic cells,[0.30948374],0.30948374,NA
Plant cells respond to the molecules associated with pathogens known as what? ,Pathogen-associated molecular patterns,pathogen-associated molecular patterns or pamps,Plant cells respond to the molecules associated with pathogens known as pathogen-associated molecular patterns or pamps.,yes,Do plant cells respond to the molecules associated with pathogens known as pathogen-associated molecular patterns or pamps?,individual plant cells,[0.26558775],0.26558775,NA
Cells of the site of an infection in a plant undergo what process to prevent spread of the disease? ,apoptosis,rapid apoptosis,Cells of the site of an infection in a plant undergo rapid apoptosis prevent spread of the disease.,yes,Do cells of the site of an infection in a plant undergo rapid apoptosis prevent spread of the disease?,cells at the site of infection undergo rapid apoptosis,[0.26235226],0.26235226,NA
What is a kind of defense response that makes the entire plant resistant to a particular agent? ,Systemic acquired resistance (SAR),systemic acquired resistance,Systemic acquired resistance is a kind of defense response that makes the entire plant resistant to a particular agent.,yes,Is systemic acquired resistance a kind of defense response that makes the entire plant resistant to a particular agent?,sar,[0.13628474],0.13628474,NA
What is a mechanism that can help plants block virus replication? ,RNA silencing mechanisms,rna silencing,A mechanism that can help plants block virus replication is rna silencing.,yes,Is a mechanism that can help plants block virus replication rna silencing?,rapid apoptosis,[0.24069016],0.24069016,NA
What type of steam engine does not need valves to direct steam? ,oscillating cylinder,simple expansion,Simple expansion type of steam engine does not need valves to direct steam.,yes,Do simple expansion type of steam engine does not need valves to direct steam?,an oscillating cylinder steam engine,[0.23183043],0.23183043,NA
What is another term for the pivot mounting? ,trunnion,trunnion,Another term for the pivot mounting is trunnion.,yes,Is another term for the pivot mounting trunnion?,no answer>,[0.59921396],0.59921396,NA
"Along with toys, where are oscillating cylinder steam engines typically used? ",models,models,"Along with toys, are oscillating cylinder steam engines typically used in models.",yes,"Are along with toys, oscillating cylinder steam engines typically used in models?",no answer>,[0.59921396],0.59921396,NA
Full size working engines on what vehicles sometimes use oscillating cylinder steam engines? ,ships,ships,Full size working engines on ships sometimes use oscillating cylinder steam engines.,yes,Do full size working engines on ships sometimes use oscillating cylinder steam engines?,have also been used in full size working engines,[0.3662192],0.3662192,NA
What is the land area of Jacksonville? ,874.3 square miles,"874.3 square miles (2,264 km2)","The land area of Jacksonville is 874.3 square miles (2,264 km2).",yes,"Is the land area of Jacksonville 874.3 square miles( 2,264 km2)?",total area of 874.3 square miles,[0.27390566],0.27390566,NA
