Source Question,Ground Truth,Source Answer,Statement (SQ+SA),Target Answer,New Question,New Answer,R1p,R1r,Semantic Similarity Score - Detail,Average,Inspection Conclusion
What mountainous region is Lake Constance by? ,Alps,alps,lake constance by is alps.,lake constance,What lake is alps ?,no answer>,1,0.8,"[0.18823111, 0.47375906]",0.33099508,FP statement
In what country was a full-scale working railway steam locomotive first invented? ,United Kingdom,united kingdom,in united kingdom country was a full-scale working railway steam locomotive first invented.,a full - scale working railway steam locomotive,What was first invented in united kingdom country ?,steam locomotive,0.8,0.923076923,"[0.43713158, -0.005456631, 0.36245888, 0.37519833, 0.6614126, 1.0, 1.0]",0.54724926,NA
Where did the world's first railway journey terminate? ,Abercynon,abercynon in south wales,the world's first railway journey terminated in abercynon in south wales.,the world 's first railway journey,What terminated in abercynon in south wales ?,no answer>,0.833333333,0.909090909,"[0.30652174, 0.31697, 0.45156035, 0.22237788, 0.34763485]",0.32901296,NA
In what country was a full-scale working railway steam centre first invented? ,<No Answer>,united kingdom,in united kingdom country was a full-scale working railway steam centre first invented.,a full - scale working railway steam centre,What was first invented in united kingdom country ?,steam locomotive,0.8,0.923076923,"[0.43713158, -0.005456631, 0.36245888, 0.37519833, 0.6614126, 1.0, 0.3339944]",0.45210558,SA
In what geographical portion of England is Abercynon located? ,<No Answer>,south wales,in south wales geographical portion of england is abercynon located.,abercynon,What is in the south wales geographical portion of England ?,no answer>,0.9,0.9,[0],0,SA
What did the Polish citizens understand the subtext of John Paul II's words to be? ,incentive for the democratic changes,the incentive for the democratic changes,the polish citizens understood the subtext of john paul ii's words to be the incentive for the democratic changes.,the subtext of john paul ii 's words,What did the Polish citizens understand as the incentive for democratic changes ?,let thy spirit descend! let thy spirit descend and renew the face of the,0.833333333,0.789473684,"[0.4088367, 0.24217959, 0.3068042, 0.29995608, 0.38745934, 0.41683242]",0.3436781,NA
Where was France's Huguenot population largely centered? ,the southern and central parts of France,southern and central parts,france's huguenot population largely was centered in southern and central parts.,france 's huguenot population,Who was located in southern and central parts ?,"huguenot numbers peaked near an estimated two million by 1562, concentrated mainly",0.727272727,0.727272727,"[0.42180786, 0.35568875, 0.99999994, 0.51221067]",0.5724268,NA
What was the proportion of Huguenots to Catholics at their peak? ,about one-eighth the number,one-eighth,the proportion of huguenots to catholics at their peak was one-eighth.,the proportion of huguenots,What was one - eighth of the population at their peak ?,no answer>,0.75,0.818181818,"[0.33301732, 0.30475295]",0.31888515,NA
What is stage 1 in the life of a bill? ,introductory,introductory stage,stage 1 in the life of a bill is introductory stage.,the life of a bill,In what stage is the introductory stage ?,stage 1,0.909090909,0.909090909,"[0.50059146, 0.41226175]",0.45642662,FP NQ
Where and when did the investigation of the plague pathogen begin? ,Hong Kong in 1894,hong kong in 1894,the investigation of the plague pathogen began in hong kong in 1894.,the investigation of the plague pathogen,What began in 1894 ?,no answer>,1,0.75,"[0.44950885, 0.32087788, 0.23046154]",0.3336161,NA
Who was yersinia pestis named for? ,French-Swiss bacteriologist Alexandre Yersin,alexandre yersin,alexandre yersin was yersinia pestis named for.,yersinia pestis,What was named for ?,alexandre yersin,1,0.714285714,"[0.3951103, 0.4031239]",0.3991171,FP NQ
Besides Alexandre Yersin who was another scientist that visited Hong Kong in 1894? ,<No Answer>,paul-louis simond,besides alexandre yersin paul-louis simond was another scientist that visited hong kong in 1894.,another scientist that visited hong kong in 1894,Who was Alexandre Yersin paul - louis simond ?,no answer>,1,0.928571429,"[0.42593613, 0.30656263, 0.27234733, 0.27178058, 0.15635373, 0.11308564]",0.25767767,SA
Who oversees a Pharmacy Technician in the UK? ,other senior pharmacy technicians,other senior pharmacy technicians,other senior pharmacy technicians oversees a pharmacy technician in the uk.,a pharmacy technician,What is a senior pharmacy technician in the UK ?,a health care professional,0.727272727,0.727272727,"[0.51745224, 0.5984885]",0.5579704,FP NQ
Since when was the Rhine part of the areal of Hallstatt culture? ,6th century BC,6th century bc,the rhine part of the areal of hallstatt culture was since 6th century bc.,the rhine part of the areal of hallstatt culture,What area has since 6th century ?,no answer>,0.923076923,0.857142857,"[0.27544168, 0.4838851, 0.26175505, 0, 0.268109]",0.257838166,FP statement
What is the chemical that mediates Type 1 hypersensitivity? ,IgE,ige,the chemical that mediates type 1 hypersensitivity is ige.,the chemical that mediates type 1 hypersensitivity,What is ige ?,no answer>,1,1,"[0.30621618, 0.32649192, 0.42290586, 0.69879603, 0.25463247]",0.4018085,NA
What is the second busiest container port in the United States? ,Port of San Diego,port of long beach,the second busiest container port in the united states is port of long beach.,the united states,The port of long beach is in what country ?,no answer>,0.909090909,0.714285714,"[0.30158418, 0.32994112]",0.31576264,NA
What is the busiest container port in the United States? ,<No Answer>,port of los angeles,the busiest container port in the united states is port of los angeles.,the united states,The port of los angeles is located in what country ?,southern california,0.833333333,0.769230769,"[0.4486922, 0.4407622]",0.44472718,SA
A growing number of new forms of procurement involves what? ,relationship contracting where the emphasis is on a co-operative relationship,relationship contracting,a growing number of new forms of procurement involves relationship contracting.,a growing number of new forms of procurement,What is relationship contracting ?,the emphasis is on a co-operative relationship between the principal and contractor and other stakeholders within,0.909090909,0.909090909,"[0.46752897, 0.38749167, 0.5237542, 0.45570394, 0.58798534]",0.48449284,SA
Focus on what is to ameliorate the many problems that arise from the often highly competitive and adversarial practices within the construction industry.? ,co-operation,co-operation,focus on co-operation is to ameliorate the many problems that arise from the often highly competitive and adversarial practices within the construction industry..,the many problems that arise from the often highly competitive and adversarial practices within the construction industry,What does co - operation aim to help ?,ameliorate the many problems,0.904761905,0.826086957,"[1.0, 1.0, 0.58519286, 0.56728375, 0.517027, 0.40608317, 0.3647854, 0.52284527, 0.45277217, 0.4279521, 0.43612036]",0.5709148,NA
What type of flower is sought on Wianki? ,<No Answer>,fern,fern type of flower is sought on wianki.,wianki,Where is the fern type of flower sought ?,the banks of the vistula on midsummer’s night,0.777777778,0.875,[0],0,SA
What other terminology is considered much more destructive? ,civil rebellion,rebellion,rebellion is considered much more destructive.,much more destructive,What is rebellion considered ?,no answer>,1,1,"[0.4076047, 0.2829934]",0.34529907,NA
What is one result of civil rebellion? ,destructive,refusal to submit to arrest,one result of civil rebellion is refusal to submit to arrest.,one result of civil rebellion,What is refusal to submit to arrest ?,civil disobedience,1,1,"[0.27956218, 0.38142008, 0.99999994, 0.5846822]",0.5614161,SA
Which city is planned to be a part of the California High Speed Rail? ,Fresno,fresno,fresno is planned to be a part of the california high speed rail.,a part of the california high speed rail,What is fresno planned to be ?,no answer>,1,1,"[0.4838851, 0.20974393, 0.2794666, 0.37016997, 0.26498652]",0.32165045,NA
Who renovated the Santa Fe Railroad Depot? ,<No Answer>,amtrak san joaquins,amtrak san joaquins renovated the santa fe railroad depot.,the santa fe railroad depot,What did amtrak san joaquins renovate ?,no answer>,0.777777778,0.777777778,"[0.2603944, 0.41233304, 0.2230102, 0.2511263]",0.28671598,SA
What was common in states without population increases? ,<No Answer>,lines at gasoline stations,common in states without population increases was lines at gasoline stations.,states without population increases,What states have lines at gasoline stations ?,no answer>,0.888888889,0.727272727,"[0.32994112, 0.3668661, 0.25314772, 0.32268456]",0.31815988,SA
When was the paper published that the 'Millennial Northern Hemisphere temperature reconstruction' graph was based on? ,1999,1999,the paper was published that the' millennial northern hemisphere temperature reconstruction' graph was based on in 1999.,the ' millennial northern hemisphere temperature reconstruction ' graph,What was the paper published that was based on in 1999 ?,"michael e. mann, raymond s. bradley",0.789473684,0.882352941,"[0.71351206, 0.2874886, 0.27270252, 0.25847274, 0.246665, 0.22393285, 0.71351206, 0.34506226]",0.3826685,NA
What is the nickname for the 'Millennial Northern Hemisphere temperature reconstruction' graph? ,the 'hockey stick graph',hockey stick graph,the nickname for the' millennial northern hemisphere temperature reconstruction' graph is hockey stick graph.,the ' millennial northern hemisphere temperature reconstruction ' graph,What is the hockey stick graph ?,no answer>,0.714285714,0.714285714,"[0.72092885, 0.2584855, 0.20740527, 0.2357605, 0.3074792, 0.33412576, 0.72092885, 0.41021746]",0.39941645,NA
What types of work did the Han do in Central Asia? ,artisans and farmers,artisans and farmers,the han did artisans and farmers of work in central asia.,the han,During what era did artisans and farmers of Central Asia work ?,no answer>,0.727272727,0.727272727,[0.2857862],0.2857862,NA
Which theorem states that every large odd integer can be written as a prime summed with a semiprime? ,<No Answer>,chen's,chen's theorem states that every large odd integer can be written as a prime summed with a semiprime.,a semiprime,What does chen ' s theorem state that every large odd integer can be written as a prime summed with ?,no answer>,0.842105263,0.888888889,[0.34777734],0.34777734,NA
Abilene was a prime investor in what project? ,<No Answer>,the national lambdarail (nlr) project,abilene was a prime investor in the national lambdarail (nlr) project project.,abilene,Who was a prime investor in the national lambdarail ( nlr ) project ?,internet2 community,0.818181818,0.75,[0],0,SA
What is a mechanism that can help plants block virus replication? ,RNA silencing mechanisms,rna silencing,a mechanism that can help plants block virus replication is rna silencing.,a mechanism that can help plants block virus replication,What is rna silencing ?,no answer>,1,1,"[0.39348838, 0.5310394, 0.23598543, 0.4133973, 0.2411245, 0.39843664]",0.36891195,NA
Full size working engines on what vehicles sometimes use oscillating cylinder steam engines? ,ships,ships,full size working engines on ships sometimes use oscillating cylinder steam engines.,full size working engines,What type of engines use oscillating cylinder steam engines ?,toys and models,1,0.75,"[0.34594724, 0.350042, 0.39360625, 0.51564944]",0.40131125,NA
What is the land area of Jacksonville? ,874.3 square miles,"874.3 square miles (2,264 km2)","the land area of jacksonville is 874.3 square miles (2,264 km2).",the land area of jacksonville,What is 874 . 3 square miles ?,no answer>,1,0.833333333,"[0.3322733, 0.31373754, 0.2294027]",0.29180452,NA
In what country did the Protestant Reformation get its start? ,<No Answer>,france,the protestant reformation got its start in france country.,its start,What did the Protestant Reformation get in france country ?,a long history of struggles with the papacy,1,1,[0.4790482],0.4790482,SA
In what year did Protestant rule in Montpellier effectively collapse? ,<No Answer>,1629,protestant rule in montpellier effectively collapsed in 1629 year.,montpellier,Where did protestant rule collapse in 1629 ?,no answer>,1,0.777777778,[0],0,SA
Where did Yesun Temur die? ,Shangdu,shangdu,yesun temur died in shangdu.,yesun temur,Who died in shangdu ?,yesün temür,1,1,"[0, 0]",0,FP measure
Who was thought to have killed Tugh Temur? ,El Temür,el temür,el temür was thought to have killed tugh temur.,tugh temur,Who was thought to have been killed by el temür ?,kusala,0.818181818,1,"[0, 0]",0,NA
How did Yesun Temur die? ,<No Answer>,shangdu,yesun temur died by shangdu.,yesun temur,Who died by shangdu ?,yesün temür,1,1,"[0, 0]",0,FP measure
What was Thoreau's punishment for not paying his taxes? ,imprisonment,imprisonment,thoreau's punishment for not paying his taxes was imprisonment.,thoreau 's punishment,What was imprisonment for not paying his taxes ?,no answer>,0.8,0.888888889,"[0.3104014, 0.31697, 0.35595524]",0.32777557,NA
What did Thoreau ask a public figure the taxman to do? ,Resign,resign,thoreau asked a public figure the taxman to resign.,a public figure,Who did thoreau ask to resign ?,a confused taxman,1,0.777777778,"[0.36419913, 0.39158222]",0.37789068,NA
What advise did Thoreau give the tax collector when unable to perform his duty? ,Resign,resign,thoreau gave resign the tax collector when unable to perform his duty.,thoreau,Who gave the tax collector when unable to perform his duties ?,postman,0.909090909,0.833333333,[0.26461047],0.26461047,NA
What enzymes in saliva are antibacterial in nature? ,lysozyme and phospholipase A2,lysozyme and phospholipase a2,antibacterial in nature are lysozyme and phospholipase a2 in saliva.,nature,Where are lysozyme and phospholipase a2 in saliva ?,"tears, and breast milk",1,0.9,[0.38235098],0.38235098,NA
What may be presented to Parliament in various ways? ,Bills,bills,bills may be presented to parliament in various ways.,various ways,How may bills be presented to Parliament ?,the scottish government can introduce new laws or amendments to existing laws as a,0.888888889,0.888888889,"[0.6369331, 0.49370944]",0.56532127,FP NQ
What major conquest did Tancred play a roll in? ,Jerusalem,jerusalem,tancred played a roll in jerusalem.,a roll,What did tancred play in jerusalem ?,instrumental in the conquest of jerusalem,0.833333333,0.833333333,[0.33059365],0.33059365,NA
What was Kublai's favorite sect of Tibetan Buddhism? ,Sakya,sakya,kublai's favorite sect of tibetan buddhism was sakya.,kublai 's favorite sect of tibetan buddhism,What was sakya ?,tibetan buddhism,0.777777778,0.875,"[0, 0.19727093, 0.26169935, 0.3883014, 1.0, 1.0]",0.47454528,NA
What was the Yuan's official state religion? ,<No Answer>,tibetan buddhism,the yuan's official state religion was tibetan buddhism.,the yuan 's official state religion,What was tibetan buddhism ?,"buddhism, especially the tibetan variants",0.777777778,0.875,"[0.36041406, 0.33909476, 0.40128717, 0.38792178, 0.61378795]",0.42050114,SA
Where is the center of economic activity for the United States? ,<No Answer>,southern california,the center of economic activity for the united states is in southern california.,the united states,What is the center of economic activity for ?,no answer>,1,0.769230769,"[0.30158418, 0.32994112]",0.31576264,SA
What word is the word pharmacy taken from? ,its root word pharma,pharma,the word pharmacy is taken from pharma.,the word pharmacy,What is taken from pharma ?,no answer>,1,1,"[0.48317167, 0.23316446]",0.35816807,NA
How would the word apothecary be viewed by contemporary English speakers? ,outdated or only approproriate if herbal remedies were on offer to a large extent,outdated or only approproriate if herbal remedies were on offer to a,the word apothecary would be viewed by contemporary english speakers by outdated or only approproriate if herbal remedies were on offer to a.,contemporary english speakers,Who would view the word apothecary as outdated or only approproriate if herbal remedies were on offer to a ?,no answer>,0.904761905,0.826086957,"[0.3437176, 0.33739293, 0.30309337]",0.32806796,NA
What is the lone MLS team that belongs to southern California? ,LA Galaxy,la galaxy,the lone mls team that belongs to southern california is la galaxy.,the lone mls team that belongs to southern california,What is la galaxy ?,no answer>,1,1,"[0.287334, 0.403752, 0.31515205, 0.3901093, 0.2123246, 0.20974393]",0.30306932,NA
Where is the Rhine Bridge? ,Arnhem,arnhem,the rhine is bridge in arnhem.,bridge,What is the Rhine in arnhem ?,no answer>,1,1,[0.29479504],0.29479504,NA
How many people did the Islamic State control the territory of as of March 2015? ,ten million,ten million,the islamic state controlled ten million people the territory of as of march 2015.,the territory of as,"As of March 2015 , what territory did the Islamic State control ?",iraq and syria,0.833333333,0.714285714,[0.36962506],0.36962506,FP NQ
The connection between energy and what allows for a unified electromagnetic force that acts on a charge? ,<No Answer>,magnetism,the connection between energy and magnetism allows for a unified electromagnetic force that acts on a charge.,a unified electromagnetic force,The connection between energy and magnetism allows for what ?,no answer>,1,0.705882353,"[0.34751457, 0.21717736, 0.38488936]",0.3165271,SA
Why did Toghun Temur dismiss Toghtogha? ,fear of betrayal,fear of betrayal,toghun temur dismissed toghtogha because fear of betrayal.,toghun temur,Who dismissed Toghtogha because of betrayal ?,toghun temür,1,0.875,"[1.0, 0]",0.5,FP measure
When was the Ming dynasty in power? ,1368–1644,1368–1644,the ming dynasty in power was in 1368–1644.,power,What was the Ming dynasty in 1368 - 1644 ?,no answer>,0.857142857,0.75,[0.38209876],0.38209876,NA
His poem is considered the first kind of what type of protest? ,nonviolent,nonviolent,his poem is considered the first kind of nonviolent type of protest.,his poem,What is considered the first kind of nonviolent protest ?,the mask of anarchy,1,0.833333333,[0.28908688],0.28908688,NA
What famous author used similarity and likeness of Percy Shelly in his writing? ,Henry David Thoreau,henry david thoreau,henry david thoreau used similarity and likeness of percy shelly in his writing.,similarity and likeness of percy shelly,What did henry david thoreau use in his writing ?,civil disobedience,1,1,"[0.2782452, 0.29544535, 0.3291854, 0.2512468]",0.28853068,NA
The integer factorization problem essentially seeks to determine if the value of of an input is less than what variable? ,k,k,the integer factorization problem essentially seeks to determine if the value of of an input is less than k.,the integer factorization problem,What is the problem that seeks to determine if the value of of an input is less than k ?,no answer>,0.818181818,0.947368421,"[0.33261004, 0.34519106, 0.55535406]",0.41105175,NA
What is the most well-known algorithm associated with the integer factorization problem? ,the general number field sieve,general number field sieve,general number field sieve is the most well-known algorithm associated with the integer factorization problem.,the integer factorization problem,What is the general number field sieve associated with ?,no answer>,1,0.8,"[0.33261004, 0.34519106, 0.55535406]",0.41105175,NA
How many people work for Kunskapsskolan schools? ,700,700,700 people work for kunskapsskolan schools.,kunskapsskolan schools,Where do 700 people work ?,no answer>,0.833333333,0.833333333,"[0, 0.20613042]",0.103065208,NA
What are one of the key cell types of the adaptive immune system? ,T cells,t cells,one of the key cell types of the adaptive immune system are t cells.,the key cell types of the adaptive immune system,t cells are what ?,no answer>,1,0.857142857,"[0.4313616, 0.29703438, 0.31294042, 0.34638217, 0.2867316, 0.3311839]",0.3342723,NA
How is worst-case time complexity written as an expression? ,T(n),t(n),worst-case time complexity is written as an expression by t(n).,an expression,How is worst - case time complexity written ?,t(n) is defined to be the maximum time taken over all inputs of size,1,0.8,[0.49101922],0.49101922,FP NQ
Who suggested the name of Tymnet? ,<No Answer>,another employee,another employee suggested the name of tymnet.,the name of tymnet,What did another employee suggest ?,the name,1,1,"[1.0, 0]",0.5,SA
What responsibilities are pharmacists believed to be taking on more in the future? ,increasingly expected to be compensated for their patient care skills,patient care skills,patient care skills are pharmacists believed to be taking on more in the future.,the future,What are pharmacists believed to be taking on more in ?,the health care system,1,0.785714286,[0.48967338],0.48967338,SA
Who is on the IPCC Panel? ,representatives appointed by governments and organizations,representatives appointed by governments and organizations,on the ipcc panel is representatives appointed by governments and organizations.,the ipcc panel,Representatives appointed by governments and organizations are on what panel ?,ipcc,0.909090909,0.909090909,"[0.99999994, 0.14430661]",0.5721533,FP statement
How many people attended the 2003 IPCC meeting? ,35000.00%,35000.00%,350 people attended the 2003 ipcc meeting.,the 2003 ipcc meeting,What gathering did 350 people attend ?,no answer>,1,1,"[0.11206539, 0.2884692, 0.37285382]",0.25779614,NA
What kind of people attend the IPCC meetings? ,government officials and climate change experts,government officials,government officials attend the ipcc meetings.,the ipcc meetings,What do government officials attend ?,no answer>,1,1,"[0.2884692, 0.29547143]",0.2919703,SA
What was the goal of the system ? ,"to provide a fault-tolerant, efficient routing method for telecommunication messages","to provide a fault-tolerant, efficient routing method for telecommunication messages","the goal of the system was to provide a fault-tolerant, efficient routing method for telecommunication messages.",the goal of the system,"What was to provide a fault - tolerant , efficient routing method for telecommunication messages ?",distributed adaptive message block switching,1,1,"[0.39987323, 0.46443555]",0.4321544,NA
What did the concept hope to achieve? ,<No Answer>,"provide a fault-tolerant, efficient routing method for telecommunication messages","the concept hoped to achieve provide a fault-tolerant, efficient routing method for telecommunication messages.",the concept,"What was to provide a fault - tolerant , efficient routing method for telecommunication messages ?",distributed adaptive message block switching,0.923076923,0.857142857,[0.47116154],0.47116154,SA
What can it sometimes take up to 14 years to get permission to build on? ,government land,government land,it sometimes can take government land up to 14 years to get permission to build on.,permission,What can take up to 14 years to get to build on government land ?,red tape,1,0.875,[0.3102017],0.3102017,FP NQ
What does high levels of inequality do to growth in poor countries? ,reduce,reduce,high levels of inequality does to growth reduce in poor countries.,growth,Low levels of inequality do what to reduce in poor countries ?,no answer>,0.8,0.727272727,[0.32277188],0.32277188,FP statement
What does high levels of inequality do to growth in rich countries? ,<No Answer>,encourage,high levels of inequality does to growth encourage in rich countries.,high levels of inequality,What does growth encourage in rich countries ?,no answer>,0.888888889,0.727272727,"[0.2794666, 0.2952684, 0.36135215]",0.31202903,SA
When was the current parliament of Scotland convened? ,Following a referendum in 1997,1997,the current parliament of scotland was convened in 1997.,the current parliament of scotland,What was convened in 1997 ?,no answer>,1,1,"[0.39366275, 0.30486134, 0.27454117]",0.3243551,NA
The term 'southern' California usually refers to how many of the southern-most counties of the state? ,ten,ten,the term' southern' california usually refers to ten of the southern-most counties of the state.,the term ' southern ' california,What term refers to ten of the southern - most counties of the state ?,no answer>,0.75,0.8,"[0.3570188, 0.72092885, 0.2123246, 0.72092885, 0.20974393]",0.444189,NA
"Other than Point Conception, what landmark is used in the other definition of southern California? ",Tehachapi Mountains,tehachapi mountains,"other than point conception, tehachapi mountains is used in the other definition of southern california.",the other definition of southern california,Where is tehachapi mountains used ?,no answer>,1,0.733333333,"[0.49675667, 0.2123246, 0.20974393]",0.30627507,NA
Point Conception is an example of a landmark among what boundary of southern California? ,northern,northern,point conception is an example of a landmark among northern boundary of southern california.,point conception,What is an example of a landmark among the northern boundary of southern California ?,tehachapi mountains,0.933333333,1,"[0.2972672, 0.20748048]",0.25237384,NA
What equipment is used to identify individual crystals? ,<No Answer>,electron microprobe,electron microprobe is used to identify individual crystals.,individual crystals,What is the electron microprobe used to identify ?,rocks in the laboratory,0.888888889,1,"[0.42268658, 0.5416068]",0.48214668,SA
When did Kublai ban the international Mongol slave trade? ,1291,1291,kublai banned the international mongol slave trade in 1291.,the international mongol slave trade,What trade was banned in 1291 ?,sale abroad of mongols,0.888888889,0.888888889,"[0.4539218, 0.7938629, 0.38292933, 0.529807]",0.54013026,NA
Who was influential in promoting the use of chemical compounds as medicines? ,Muhammad ibn Zakarīya Rāzi,muhammad ibn zakarya rzi,influential in promoting the use of chemical compounds as medicines was muhammad ibn zakarya rzi.,influential,How did muhammad ibn zakarya rzi do in promoting the use of chemical compounds as medicines ?,acted to promote the medical uses of chemical compounds,0.875,0.933333333,[0.4453706],0.4453706,NA
Who governed the Central Region in the Yuan? ,the Central Secretariat,the central secretariat,the central secretariat governed the central region in the yuan.,the yuan,The central secretariat governed the central region in what ?,"khanbaliq (modern beijing); similarly, another top-level administrative",1,1,[0.3790365],0.3790365,NA
What was the Chinese name for the Central Secretariat? ,Zhongshu Sheng,zhongshu sheng,the chinese name for the central secretariat was zhongshu sheng.,the central secretariat,What was the Chinese name for what ?,zhongshu sheng,0.888888889,0.8,"[0.2584874, 0.22617541]",0.24233142,FP NQ
In what year did Massachusetts first require children to be educated in schools? ,1852,1852,massachusetts first required children to be educated in schools in 1852 year.,children,Who did massachusetts first require to be educated in schools ?,1852,1,0.75,[0.03587002],0.03587002,NA
What is the average construction salary in the UK? ,"£26,719","£26,719","the average construction salary in the uk is £26,719.",the average construction salary,What is the average salary in the UK ?,"£26,719",0.727272727,0.888888889,"[0.004116347, 0, 0.10852876]",0.03754837,FP NQ
"Where have some workers made more than $100,000? ",US/Canada,us/canada,"some workers have made more than $ 100,000 in us/canada.",some workers,"Who has made more than $ 100 , 000 in us / canada ?",no answer>,0.727272727,0.8,[0.24834354],0.24834354,NA
Who appoints the board of the European Central Bank? ,European Council,the european council,the european council appoints the board of the european central bank.,the board of the european central bank,What does the european council appoint ?,no answer>,1,1,"[0.30484492, 0.16668797, 0.35214838, 0.2700375]",0.2734297,NA
When can oxygen gas produce a toxic condition? ,at elevated partial pressures,elevated partial pressures,oxygen gas can produce a toxic condition in elevated partial pressures.,a toxic condition,What can oxygen gas produce in elevated partial pressures ?,convulsions and other health problems,1,1,"[0.43419898, 0.5442195]",0.48920923,NA
What medical appliance can be a concern for oxygen toxicity? ,mechanical ventilators,mechanical ventilators,mechanical ventilators can be a concern for oxygen toxicity.,oxygen toxicity,Mechanical ventilators can be a concern for what ?,patients on mechanical ventilators,1,1,"[0.5342034, 0.40781593]",0.47100967,NA
What is the name of one algebraic generalization prime numbers have inspired? ,prime ideals,prime elements,the name of one algebraic generalization prime numbers have is inspired prime elements.,the name of one algebraic generalization prime numbers,What has been inspired prime elements ?,no answer>,0.846153846,0.846153846,"[0.41433972, 0.4914133, 0.27922803, 0.40995464, 0.36137334, 0.36449152]",0.38680008,NA
Compounding was not popular in the construction of what machines? ,railway locomotives,railway locomotives,compounding was not popular in the construction of railway locomotives machines.,machines,What was compounding not popular in the construction of ?,railway locomotives,1,0.818181818,[0.47808895],0.47808895,FP TA
What was compounding seen as being in the locomotive construction industry? ,complicated,complicated,complicated was compounding seen as being in the locomotive construction industry.,the locomotive construction industry,What was the compounding seen as being in ?,no answer>,0.909090909,0.909090909,"[0.24805121, 0.33502614, 0.2671309]",0.28340277,NA
